id,product_id,property_type_id,value,,
227,36,17,Phượng Hoàng,,
228,36,18,"['Sông quê','Tình đẹp mùa chôm chôm','Lí ngựa ô','Dòng sông','Thuở yêu nhau','Đàn sáo Hậu Giang','Trần long ẩn','Anh Sáu','Ra giêng anh cưới em']",,
229,36,19,01-2000,,
230,36,20,Tân cổ,,
231,37,16,Taylor Swift,,
232,37,17,Times Records,,
233,37,18,"['Willow','Champagne problem','Gold rush','tis the damn season','tolerate it','No body no crime','Happiness','Coney island','Ivy','Cowboy like me','Long story short','Evermore']",,
234,37,19,12-2020,,
235,37,20,E-pop,,
236,38,16,Mỹ Tâm,,
237,38,17,Rồng Đỏ,,
238,38,18,"['Khi anh ra đi','Tình lỡ cách xa','Trái tim mong manh','Mưa nắng cuộc tình','Khung trời mông mơ','Giấu em vào nỗi nhớ','Ngỡ đâu tình đã quên mình']",,
239,38,19,06-2016,,
240,38,20,Nhạc trẻ,,
241,39,16,Mỹ Tâm,,
242,39,17,Rồng Đỏ,,
243,39,18,"['Ánh sao buồn','Ban mai tình yêu','Sương đêm','Cò lại chút yêu thương','Tình là như thế','Người em yêu','Vấn vương']",,
244,39,19,07-2016,,
245,39,20,Nhạc trẻ,,
246,40,16,Mỹ Tâm,,
247,40,17,Rồng Đỏ,,
248,40,18,"['Tình yêu đầu tiên','Tình vẫn chưa yên','Ngày tình yêu lên ngôi','Họa mi tóc nâu','Hát yêu thương','Ra đi','Hát lên bạn nhé','Cây đàn sinh viên']",,
249,40,19,08-2016,,
250,40,20,Nhạc trẻ,,
251,41,16,Đen Vâu,,
252,41,17,Vâu Entertainment,,
253,41,18,"['Vì yêu cứ đâm đầu','Đố em biết anh đang nghĩ gì','Forever love','Lộn xộn II','Cho tôi lang thang','Ngày khác lạ','Đừng gọi anh là idol','Trạm dừng chân']",,
254,41,19,10-2019,,
255,41,20,Rap,,
256,42,16,Min,,
257,42,17,Super Z,,
258,42,18,"['Đừng yêu em nữa em mệt rồi','Vì yêu cứ đâm đầu','Mlem mlem','Có em chờ','Ghen','Hòa nhịp giáng sinh','Đừng xin lỗi nữa','Người em tìm kiếm','Tìm','Hôn anh']",,
259,42,19,6-2018,,
260,42,20,Nhạc trẻ,,
261,43,16,Lynk Lee,,
262,43,17,Lee Lee Lin,,
263,43,18,"['Tát nước đầu đình','Đừng gọi anh là idol','Tạm biệt nhé','Chờ một ngày nắng','Nắm chặt tay anh nhé','Ngầy ấy bạn và tôi','Cho tôi xin một vé đi tuổi thơ','Cô gái nông thôn','Tuổi học trò']",,
264,43,19,05-2017,,
265,43,20,Nhạc trẻ,,
266,44,16,Lynk Lee,,
267,44,17,Lee Lee Lin,,
